obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
42,5.5,1,0,0,12,2,20,0,0,1.70474803447723,24,1,12,2,0,0
43,9.61999988555908,0,0,0,12,10,28,1,0,2.26384425163269,120,0,0,0,0,0
44,5.25,1,1,0,12,3,21,0,1,1.65822803974152,36,1,12,3,1,12
45,11.5,0,0,0,12,9,27,0,0,2.44234704971313,108,0,0,0,0,0
46,17,0,0,0,16,30,52,0,0,2.83321332931519,480,0,0,0,0,0
47,11,0,0,1,12,30,48,0,0,2.39789533615112,360,0,0,0,0,0
48,13,1,0,0,12,29,47,0,0,2.56494927406311,348,1,12,29,0,0
49,7.32000017166138,0,0,0,12,2,20,0,0,1.99061036109924,24,0,0,0,0,0
50,5.5,0,0,0,12,6,24,0,0,1.70474803447723,72,0,0,0,0,0
51,11.5200004577637,0,0,0,12,33,51,1,0,2.44408464431763,396,0,0,0,0,0
52,15,0,0,0,12,37,55,1,0,2.70805025100708,444,0,0,0,0,0
53,13.5,0,0,1,12,16,34,0,0,2.60268974304199,192,0,0,0,0,0
54,6.75,1,0,0,11,12,29,0,0,1.90954256057739,132,1,11,12,0,0
55,12.5,0,0,0,12,12,30,1,0,2.52572870254517,144,0,0,0,0,0
56,7.09999990463257,0,0,0,9,28,43,0,0,1.96009480953217,252,0,0,0,0,0
57,6,0,1,0,11,35,52,0,0,1.7917594909668,385,0,0,0,1,11
58,14.4300003051758,0,0,0,16,9,31,1,0,2.66930937767029,144,0,0,0,0,0
59,13.7799997329712,1,0,0,16,2,24,1,0,2.62321829795837,32,1,16,2,0,0
60,5,1,1,0,12,7,25,0,1,1.60943794250488,84,1,12,7,1,12
61,4.48999977111816,1,1,1,10,31,47,0,1,1.50185263156891,310,1,10,31,1,10
62,10,0,0,0,5,42,53,0,0,2.30258512496948,210,0,0,0,0,0
63,5,1,0,0,12,37,55,0,0,1.60943794250488,444,1,12,37,0,0
64,17.6800003051758,1,0,1,16,33,55,1,0,2.87243413925171,528,1,16,33,0,0
65,4.38000011444092,1,1,0,12,23,41,1,1,1.47704875469208,276,1,12,23,1,12
66,6.88000011444092,1,0,0,12,12,30,1,0,1.92861866950989,144,1,12,12,0,0
67,12.5,1,0,0,12,25,43,0,0,2.52572870254517,300,1,12,25,0,0
68,13.8999996185303,1,0,0,16,8,30,1,0,2.63188886642456,128,1,16,8,0,0
69,7,0,0,0,12,41,59,0,0,1.94591009616852,492,0,0,0,0,0
70,12,0,0,1,11,32,49,0,0,2.4849066734314,352,0,0,0,0,0
71,9,0,0,0,12,15,33,0,0,2.19722461700439,180,0,0,0,0,0
72,6.5,0,0,0,11,6,23,0,0,1.8718022108078,66,0,0,0,0,0
73,16,0,0,1,12,42,60,0,0,2.7725887298584,504,0,0,0,0,0
74,2.13000011444092,1,0,0,12,12,30,0,0,0.756122052669525,144,1,12,12,0,0
75,9.61999988555908,0,1,0,12,21,39,1,0,2.26384425163269,252,0,0,0,1,12
76,20.2000007629395,1,0,0,18,21,45,1,0,3.00568270683289,378,1,18,21,0,0
77,14.4300003051758,1,0,0,20,2,28,1,0,2.66930937767029,40,1,20,2,0,0
78,35.8300018310547,0,0,0,20,20,46,1,0,3.57878565788269,400,0,0,0,0,0
79,16.6700000762939,1,0,0,14,11,31,0,0,2.81361079216003,154,1,14,11,0,0
80,23.0799999237061,0,0,1,18,25,49,1,0,3.13896632194519,450,0,0,0,0,0
81,4.25,0,0,0,14,7,27,0,0,1.44691896438599,98,0,0,0,0,0
82,5.5,1,0,0,12,25,43,0,0,1.70474803447723,300,1,12,25,0,0
83,15.5900001525879,0,0,0,12,36,54,0,0,2.74662971496582,432,0,0,0,0,0
84,6.94000005722046,1,1,0,14,26,46,1,1,1.93730175495148,364,1,14,26,1,14
85,25,1,0,0,14,30,50,0,0,3.21887588500977,420,1,14,30,0,0
86,5,0,0,0,12,3,21,0,0,1.60943794250488,36,0,0,0,0,0
87,15.6800003051758,1,0,1,16,21,43,1,0,2.75238609313965,336,1,16,21,0,0
88,9.52999973297119,1,1,0,12,19,37,1,1,2.25444459915161,228,1,12,19,1,12
89,11,0,0,0,12,7,25,0,0,2.39789533615112,84,0,0,0,0,0
90,4.25,1,0,0,12,0,18,0,0,1.44691896438599,0,1,12,0,0,0
91,4,1,1,0,12,34,52,0,1,1.3862943649292,408,1,12,34,1,12
92,8.25,0,0,0,12,15,33,0,0,2.11021327972412,180,0,0,0,0,0
93,22,0,0,1,12,15,33,0,0,3.09104251861572,180,0,0,0,0,0
94,5.15000009536743,1,0,0,12,1,19,0,0,1.63899672031403,12,1,12,1,0,0
95,4.69999980926514,0,0,0,16,1,23,0,0,1.54756247997284,16,0,0,0,0,0
96,8,0,0,0,1,26,33,0,0,2.0794415473938,26,0,0,0,0,0
97,12,0,1,1,11,32,49,0,0,2.4849066734314,352,0,0,0,1,11
98,2,1,0,0,5,14,25,1,0,0.6931471824646,70,1,5,14,0,0
99,5,0,0,0,9,12,27,1,0,1.60943794250488,108,0,0,0,0,0
100,7,0,0,0,12,3,21,0,0,1.94591009616852,36,0,0,0,0,0
101,12,0,0,1,5,30,41,0,0,2.4849066734314,150,0,0,0,0,0
102,17.4899997711182,0,0,0,12,14,32,1,0,2.86162924766541,168,0,0,0,0,0
103,6.75,0,1,0,10,9,25,1,0,1.90954256057739,90,0,0,0,1,10
104,6.5,1,1,0,14,5,25,0,1,1.8718022108078,70,1,14,5,1,14
105,4.5,1,0,0,1,26,33,0,0,1.5040774345398,26,1,1,26,0,0
106,8.64999961853027,1,1,0,16,18,40,1,1,2.15755939483643,288,1,16,18,1,16
107,10,0,0,0,9,8,23,0,0,2.30258512496948,72,0,0,0,0,0
108,5.5,1,0,0,1,20,27,0,0,1.70474803447723,20,1,1,20,0,0
109,7.5,0,0,0,12,2,20,0,0,2.01490306854248,24,0,0,0,0,0
110,3.5699999332428,1,0,0,16,1,23,1,0,1.27256560325623,16,1,16,1,0,0
111,18.25,1,1,1,16,21,43,1,1,2.90416502952576,336,1,16,21,1,16
112,16,0,0,0,14,26,46,0,0,2.7725887298584,364,0,0,0,0,0
113,25,0,0,1,18,33,57,1,0,3.21887588500977,594,0,0,0,0,0
114,12,1,0,0,12,41,59,0,0,2.4849066734314,492,1,12,41,0,0
115,15.3500003814697,1,0,0,12,22,40,1,0,2.7311155796051,264,1,12,22,0,0
116,16.6700000762939,1,0,0,12,28,46,0,0,2.81361079216003,336,1,12,28,0,0
117,6.25,0,0,1,12,38,56,0,0,1.83258152008057,456,0,0,0,0,0
118,4.25,1,0,0,12,37,55,0,0,1.44691896438599,444,1,12,37,0,0
119,17.2999992370605,0,0,0,16,15,37,1,0,2.85070633888245,240,0,0,0,0,0
120,20.8299999237061,0,0,1,12,38,56,1,0,3.03639435768127,456,0,0,0,0,0
121,18.4599990844727,0,0,1,16,30,52,1,0,2.91560626029968,480,0,0,0,0,0
122,10,0,0,0,10,2,18,0,0,2.30258512496948,20,0,0,0,0,0
123,11.5500001907349,0,0,0,12,15,33,1,0,2.44668555259705,180,0,0,0,0,0
124,11,1,0,0,14,7,27,0,0,2.39789533615112,98,1,14,7,0,0
125,15.8900003433228,1,0,0,16,24,46,1,0,2.76569008827209,384,1,16,24,0,0
126,23.0799999237061,0,1,0,16,14,36,1,0,3.13896632194519,224,0,0,0,1,16
127,4.25,1,0,0,5,22,33,0,0,1.44691896438599,110,1,5,22,0,0
128,5,0,0,0,7,7,20,0,0,1.60943794250488,49,0,0,0,0,0
129,17.4500007629395,1,0,0,12,23,41,1,0,2.85933971405029,276,1,12,23,0,0
130,12.8199996948242,1,0,0,16,25,47,1,0,2.55100631713867,400,1,16,25,0,0
131,6.80000019073486,0,1,0,12,2,20,0,0,1.91692268848419,24,0,0,0,1,12
132,4.25,1,0,0,10,5,21,0,0,1.44691896438599,50,1,10,5,0,0
133,8.64999961853027,1,1,0,12,38,56,1,1,2.15755939483643,456,1,12,38,1,12
134,8,1,0,1,12,36,54,0,0,2.0794415473938,432,1,12,36,0,0
135,13.25,1,0,0,14,25,45,0,0,2.58399748802185,350,1,14,25,0,0
136,6.75,0,0,0,12,17,35,0,0,1.90954256057739,204,0,0,0,0,0
137,5.5,1,0,0,1,24,31,0,0,1.70474803447723,24,1,1,24,0,0
138,7.5,0,0,0,12,19,37,1,0,2.01490306854248,228,0,0,0,0,0
139,9.25,1,0,0,16,21,43,1,0,2.22462344169617,336,1,16,21,0,0
140,29.1200008392334,0,0,0,16,22,44,1,0,3.37142515182495,352,0,0,0,0,0
141,24.75,0,0,0,16,19,41,1,0,3.20882558822632,304,0,0,0,0,0
142,8.96000003814697,1,0,1,12,41,59,0,0,2.19277024269104,492,1,12,41,0,0
143,8,0,0,0,12,6,24,0,0,2.0794415473938,72,0,0,0,0,0
144,7,1,0,0,12,1,19,0,0,1.94591009616852,12,1,12,1,0,0
145,17.2999992370605,1,0,1,16,37,59,1,0,2.85070633888245,592,1,16,37,0,0
146,12.0299997329712,0,0,0,12,10,28,1,0,2.48740339279175,120,0,0,0,0,0
147,9,0,1,1,16,4,26,0,0,2.19722461700439,64,0,0,0,1,16
148,5.5,0,0,0,12,0,18,0,0,1.70474803447723,0,0,0,0,0,0
149,4.44999980926514,1,0,0,11,1,18,0,0,1.49290406703949,11,1,11,1,0,0
150,6.05999994277954,1,0,1,12,1,19,1,0,1.80170977115631,12,1,12,1,0,0
151,21.6299991607666,0,0,0,16,12,34,1,0,3.07408118247986,192,0,0,0,0,0
152,5.82999992370606,0,0,0,12,2,20,1,0,1.76301693916321,24,0,0,0,0,0
153,43.25,0,0,0,18,13,37,1,0,3.76699733734131,234,0,0,0,0,0
154,37.5,0,0,0,12,22,40,1,0,3.62434101104736,264,0,0,0,0,0
155,8.1899995803833,0,0,0,12,13,31,0,0,2.10291385650635,156,0,0,0,0,0
156,21.6299991607666,0,0,0,16,12,34,1,0,3.07408118247986,192,0,0,0,0,0
157,6,1,0,0,12,17,35,0,0,1.7917594909668,204,1,12,17,0,0
158,9.75,1,0,0,16,7,29,0,0,2.27726721763611,112,1,16,7,0,0
159,8.64999961853027,1,0,0,16,10,32,1,0,2.15755939483643,160,1,16,10,0,0
160,7,1,0,0,12,24,42,0,0,1.94591009616852,288,1,12,24,0,0
161,6,0,0,0,7,24,37,0,0,1.7917594909668,168,0,0,0,0,0
162,10,1,0,1,12,7,25,0,0,2.30258512496948,84,1,12,7,0,0
163,12.5,1,0,0,12,13,31,0,0,2.52572870254517,156,1,12,13,0,0
164,25.4799995422363,1,0,1,18,30,54,1,0,3.23789381980896,540,1,18,30,0,0
165,5,1,0,0,12,4,22,0,0,1.60943794250488,48,1,12,4,0,0
166,14.4300003051758,1,1,0,16,5,27,1,1,2.66930937767029,80,1,16,5,1,16
167,24.4699993133545,1,0,0,16,33,55,1,0,3.19744777679443,528,1,16,33,0,0
168,28.8500003814697,0,0,1,20,23,49,1,0,3.36210989952087,460,0,0,0,0,0
169,42.7299995422363,0,0,0,20,13,39,1,0,3.75490117073059,260,0,0,0,0,0
170,7,0,1,0,16,15,37,0,0,1.94591009616852,240,0,0,0,1,16
171,9,1,1,0,16,23,45,0,1,2.19722461700439,368,1,16,23,1,16
172,7,0,1,0,12,3,21,0,0,1.94591009616852,36,0,0,0,1,12
173,18,0,0,0,12,22,40,0,0,2.89037179946899,264,0,0,0,0,0
174,18,0,0,0,12,22,40,0,0,2.89037179946899,264,0,0,0,0,0
175,13.5500001907349,1,0,1,16,24,46,1,0,2.60638666152954,384,1,16,24,0,0
176,9.30000019073486,1,0,0,12,20,38,0,0,2.23001432418823,240,1,12,20,0,0
177,14.2399997711182,0,0,0,16,17,39,1,0,2.65605497360229,272,0,0,0,0,0
178,18,1,0,0,18,9,33,0,0,2.89037179946899,162,1,18,9,0,0
179,9.09000015258789,1,0,0,12,16,34,1,0,2.2071750164032,192,1,12,16,0,0
180,17.6399993896484,1,0,0,12,13,31,1,0,2.87016892433167,156,1,12,13,0,0
181,11.5299997329712,1,0,0,16,14,36,1,0,2.44495224952698,224,1,16,14,0,0
182,19.1499996185303,0,0,1,14,11,31,0,0,2.95230269432068,154,0,0,0,0,0
183,12.1999998092651,1,0,0,12,15,33,0,0,2.50143599510193,180,1,12,15,0,0
184,14.4399995803833,0,0,0,12,7,25,1,0,2.67000222206116,84,0,0,0,0,0
185,15,1,0,0,16,29,51,0,0,2.70805025100708,464,1,16,29,0,0
186,9.53999996185303,1,0,0,12,27,45,0,0,2.25549340248108,324,1,12,27,0,0
187,17.4500007629395,0,0,0,12,23,41,0,0,2.85933971405029,276,0,0,0,0,0
188,24,1,0,0,14,16,36,0,0,3.178053855896,224,1,14,16,0,0
189,14.4300003051758,0,0,0,18,8,32,1,0,2.66930937767029,144,0,0,0,0,0
190,16.3500003814697,0,0,0,16,8,30,1,0,2.79422783851624,128,0,0,0,0,0
191,5,1,0,0,12,6,24,0,0,1.60943794250488,72,1,12,6,0,0
192,18.7000007629395,1,0,0,16,11,33,0,0,2.92852354049683,176,1,16,11,0,0
193,8,0,0,0,12,47,65,0,0,2.0794415473938,564,0,0,0,0,0
194,18.75,0,0,1,12,16,34,0,0,2.93119382858276,192,0,0,0,0,0
195,5.5,1,0,0,12,1,19,0,0,1.70474803447723,12,1,12,1,0,0
196,4.92000007629395,1,0,0,12,40,58,1,0,1.59330856800079,480,1,12,40,0,0
197,7,1,0,0,16,1,23,0,0,1.94591009616852,16,1,16,1,0,0
198,4.5,0,0,0,12,4,22,0,0,1.5040774345398,48,0,0,0,0,0
199,8.19999980926514,1,0,0,12,33,51,0,0,2.10413408279419,396,1,12,33,0,0
200,17.25,0,0,0,12,27,45,0,0,2.84781217575073,324,0,0,0,0,0
201,12.0299997329712,1,0,0,12,12,30,1,0,2.48740339279175,144,1,12,12,0,0
202,18.2000007629395,1,0,0,12,18,36,0,0,2.90142154693604,216,1,12,18,0,0
203,2.85999989509583,1,0,0,12,13,31,1,0,1.05082154273987,156,1,12,13,0,0
204,12,0,0,0,7,29,42,0,0,2.4849066734314,203,0,0,0,0,0
205,14.6999998092651,1,0,0,14,22,42,1,0,2.68784737586975,308,1,14,22,0,0
206,24,0,0,1,12,33,51,0,0,3.178053855896,396,0,0,0,0,0
207,14.4200000762939,1,0,0,14,13,33,0,0,2.66861605644226,182,1,14,13,0,0
208,9,1,0,1,12,24,42,0,0,2.19722461700439,288,1,12,24,0,0
209,19.7199993133545,0,0,0,16,23,45,0,0,2.98163342475891,368,0,0,0,0,0
210,8,1,0,0,18,13,37,0,0,2.0794415473938,234,1,18,13,0,0
211,12,0,0,0,12,9,27,0,0,2.4849066734314,108,0,0,0,0,0
212,13.1599998474121,1,0,0,12,4,22,1,0,2.57718181610107,48,1,12,4,0,0
213,11.25,0,0,0,12,12,30,1,0,2.42036819458008,144,0,0,0,0,0
214,18,0,0,1,12,18,36,0,0,2.89037179946899,216,0,0,0,0,0
215,13.5,0,0,0,16,3,25,0,0,2.60268974304199,48,0,0,0,0,0
216,8.75,0,0,0,12,6,24,0,0,2.16905379295349,72,0,0,0,0,0
217,12.7200002670288,0,0,0,16,18,40,0,0,2.54317569732666,288,0,0,0,0,0
218,11.3100004196167,1,0,0,14,10,30,0,0,2.42568731307983,140,1,14,10,0,0
219,6,1,0,0,12,0,18,0,0,1.7917594909668,0,1,12,0,0,0
220,9,0,0,0,12,7,25,0,0,2.19722461700439,84,0,0,0,0,0
221,21.4699993133545,0,0,0,16,8,30,1,0,3.06665658950806,128,0,0,0,0,0
222,5,0,1,0,12,12,30,0,0,1.60943794250488,144,0,0,0,1,12
223,12.5,1,1,0,12,42,60,1,1,2.52572870254517,504,1,12,42,1,12
224,25.4799995422363,1,1,0,20,27,53,1,1,3.23789381980896,540,1,20,27,1,20
225,14.4099998474121,0,1,1,12,22,40,0,0,2.66792249679565,264,0,0,0,1,12
226,10.1000003814697,0,1,1,16,4,26,1,0,2.31253552436829,64,0,0,0,1,16
227,7.19999980926514,0,1,0,12,5,23,1,0,1.97408103942871,60,0,0,0,1,12
228,14.3999996185303,1,1,0,12,19,37,1,1,2.66722822189331,228,1,12,19,1,12
229,9.10000038146973,1,1,1,12,32,50,0,1,2.20827436447144,384,1,12,32,1,12
230,23.0799999237061,0,0,0,20,3,29,1,0,3.13896632194519,60,0,0,0,0,0
231,7,1,0,0,16,3,25,0,0,1.94591009616852,48,1,16,3,0,0
232,19.2800006866455,0,0,0,12,15,33,0,0,2.95906829833984,180,0,0,0,0,0
233,8.71000003814697,1,0,0,12,17,35,1,0,2.16447186470032,204,1,12,17,0,0
234,9.38000011444092,1,0,0,12,43,61,1,0,2.23857975006104,516,1,12,43,0,0
235,12,0,0,0,9,23,38,0,0,2.4849066734314,207,0,0,0,0,0
236,13,0,0,0,12,10,28,0,0,2.56494927406311,120,0,0,0,0,0
237,9.63000011444092,0,0,0,12,15,33,1,0,2.26488327980041,180,0,0,0,0,0
238,16.4500007629395,1,0,0,16,41,63,1,0,2.80032563209534,656,1,16,41,0,0
239,5,1,0,0,12,20,38,1,0,1.60943794250488,240,1,12,20,0,0
240,20.8299999237061,1,0,0,14,26,46,1,0,3.03639435768127,364,1,14,26,0,0
241,7,0,1,0,12,8,26,0,0,1.94591009616852,96,0,0,0,1,12
242,10,0,0,0,12,6,24,0,0,2.30258512496948,72,0,0,0,0,0
243,13,0,1,0,12,44,62,0,0,2.56494927406311,528,0,0,0,1,12
244,22,0,0,0,12,22,40,1,0,3.09104251861572,264,0,0,0,0,0
245,8,0,0,0,14,2,22,0,0,2.0794415473938,28,0,0,0,0,0
246,6,0,0,0,12,22,40,0,0,1.7917594909668,264,0,0,0,0,0
247,23.0900001525879,1,0,0,20,17,43,1,0,3.13939952850342,340,1,20,17,0,0
248,19.2299995422363,1,0,0,16,27,49,1,0,2.95647144317627,432,1,16,27,0,0
249,8,0,0,0,14,4,24,0,0,2.0794415473938,56,0,0,0,0,0
250,11.1099996566772,0,0,0,12,14,32,1,0,2.40784549713135,168,0,0,0,0,0
251,4.59999990463257,1,1,1,5,43,54,0,1,1.52605628967285,215,1,5,43,1,5
252,11.8199996948242,0,0,0,14,37,57,1,0,2.46979308128357,518,0,0,0,0,0
253,4.55000019073486,0,0,0,12,5,23,0,0,1.51512730121613,60,0,0,0,0,0
254,10,0,0,0,12,19,37,0,0,2.30258512496948,228,0,0,0,0,0
255,7.40999984741211,1,1,0,10,29,45,0,1,2.00283050537109,290,1,10,29,1,10
256,28.8299999237061,0,0,0,16,21,43,1,0,3.36141657829285,336,0,0,0,0,0
257,4.5,1,0,0,11,1,18,0,0,1.5040774345398,11,1,11,1,0,0
258,11,0,0,0,12,16,34,0,0,2.39789533615112,192,0,0,0,0,0
259,10.0799999237061,1,0,0,12,39,57,1,0,2.31055331230164,468,1,12,39,0,0
260,9.05000019073486,1,0,0,12,38,56,0,0,2.20276474952698,456,1,12,38,0,0
261,8,1,1,0,12,9,27,0,1,2.0794415473938,108,1,12,9,1,12
262,5.15000009536743,1,1,0,12,2,20,0,1,1.63899672031403,24,1,12,2,1,12
263,5,0,1,0,12,3,21,0,0,1.60943794250488,36,0,0,0,1,12
264,12.0299997329712,1,0,0,12,6,24,1,0,2.48740339279175,72,1,12,6,0,0
265,16.8299999237061,1,0,0,16,25,47,1,0,2.82316303253174,400,1,16,25,0,0
266,2.09999990463257,1,0,0,18,27,51,0,0,0.741937279701233,486,1,18,27,0,0
267,28.2299995422363,0,0,0,20,24,50,1,0,3.34038519859314,480,0,0,0,0,0
268,7,0,0,0,9,17,32,0,0,1.94591009616852,153,0,0,0,0,0
269,6,1,1,0,12,5,23,0,1,1.7917594909668,60,1,12,5,1,12
270,10.1000003814697,1,0,0,18,15,39,1,0,2.31253552436829,270,1,18,15,0,0
271,18,1,0,0,14,6,26,0,0,2.89037179946899,84,1,14,6,0,0
272,6.75,1,0,0,12,22,40,0,0,1.90954256057739,264,1,12,22,0,0
273,11.210000038147,1,0,1,12,11,29,0,0,2.4168062210083,132,1,12,11,0,0
274,10,0,0,0,12,31,49,0,0,2.30258512496948,372,0,0,0,0,0
275,5,1,1,0,11,39,56,0,1,1.60943794250488,429,1,11,39,1,11
276,15,1,0,0,12,15,33,1,0,2.70805025100708,180,1,12,15,0,0
277,14.0900001525879,0,0,0,12,19,37,1,0,2.64546537399292,228,0,0,0,0,0
278,6.92999982833862,1,0,0,12,10,28,1,0,1.93585979938507,120,1,12,10,0,0
279,6.73999977111816,1,1,0,12,20,38,0,1,1.90805983543396,240,1,12,20,1,12
280,16,0,0,0,14,17,37,0,0,2.7725887298584,238,0,0,0,0,0
281,6.25,1,0,0,11,34,51,1,0,1.83258152008057,374,1,11,34,0,0
282,10,0,0,0,14,32,52,1,0,2.30258512496948,448,0,0,0,0,0
283,9.57999992370606,1,0,0,12,14,32,0,0,2.25967764854431,168,1,12,14,0,0
284,21.1499996185303,1,0,0,18,15,39,1,0,3.05163979530334,270,1,18,15,0,0
285,6.5,0,0,0,9,3,18,0,0,1.8718022108078,27,0,0,0,0,0
286,8.02999973297119,1,0,0,7,38,51,0,0,2.08318448066711,266,1,7,38,0,0
287,24.0300006866455,0,0,0,14,36,56,1,0,3.17930316925049,504,0,0,0,0,0
288,12.9799995422363,0,0,0,16,23,45,1,0,2.56340956687927,368,0,0,0,0,0
289,23.3999996185303,0,0,0,20,6,32,1,0,3.15273594856262,120,0,0,0,0,0
290,15.8800001144409,1,1,0,12,15,33,1,1,2.76506042480469,180,1,12,15,1,12
291,11.7799997329712,0,0,0,12,41,59,1,0,2.4664032459259,492,0,0,0,0,0
292,7,1,0,0,12,39,57,0,0,1.94591009616852,468,1,12,39,0,0
293,15.1000003814697,0,0,0,16,16,38,0,0,2.71469473838806,256,0,0,0,0,0
294,21,1,0,0,14,25,45,0,0,3.04452252388,350,1,14,25,0,0
295,5.5,1,1,0,16,10,32,0,1,1.70474803447723,160,1,16,10,1,16
296,9.31999969482422,0,1,1,12,12,30,0,0,2.23216271400452,144,0,0,0,1,12
297,14.4300003051758,1,1,0,12,29,47,1,1,2.66930937767029,348,1,12,29,1,12
298,4,0,1,0,1,33,40,0,0,1.3862943649292,33,0,0,0,1,1
299,8.75,0,0,0,9,31,46,0,0,2.16905379295349,279,0,0,0,0,0
300,8.5,0,0,0,9,7,22,0,0,2.14006614685059,63,0,0,0,0,0
301,8,0,0,0,7,30,43,0,0,2.0794415473938,210,0,0,0,0,0
302,25,0,1,0,20,2,28,1,0,3.21887588500977,40,0,0,0,1,20
303,24.0300006866455,0,0,0,18,24,48,1,0,3.17930316925049,432,0,0,0,0,0
304,6,1,0,0,14,36,56,1,0,1.7917594909668,504,1,14,36,0,0
305,5.82000017166138,0,1,0,12,11,29,0,0,1.76130032539368,132,0,0,0,1,12
306,15,0,0,0,12,15,33,0,0,2.70805025100708,180,0,0,0,0,0
307,11.5,1,1,1,16,29,51,0,1,2.44234704971313,464,1,16,29,1,16
308,24.0300006866455,0,1,1,14,40,60,1,0,3.17930316925049,560,0,0,0,1,14
309,4.25,1,1,0,12,9,27,0,1,1.44691896438599,108,1,12,9,1,12
310,8.64999961853027,1,1,0,10,8,24,1,1,2.15755939483643,80,1,10,8,1,10
311,5.5,0,1,0,12,1,19,0,0,1.70474803447723,12,0,0,0,1,12
312,19.1900005340576,0,1,1,12,39,57,0,0,2.95438933372498,468,0,0,0,1,12
313,19.1000003814697,1,0,1,18,26,50,1,0,2.94968843460083,468,1,18,26,0,0
314,14,0,1,0,12,26,44,0,0,2.63905739784241,312,0,0,0,1,12
315,4.44000005722046,0,0,0,16,15,37,1,0,1.49065434932709,240,0,0,0,0,0
316,16.8299999237061,1,0,0,18,28,52,1,0,2.82316303253174,504,1,18,28,0,0
317,7,1,0,0,12,24,42,0,0,1.94591009616852,288,1,12,24,0,0
318,23.1700000762939,0,0,0,12,37,55,0,0,3.14285826683044,444,0,0,0,0,0
319,10.9799995422363,0,0,0,12,11,29,0,0,2.39607548713684,132,0,0,0,0,0
